Jun 12 10:40:29.945887 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9458] device (mgmt-bo): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:40:29.946723 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9466] device (mgmt-br.2021): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:40:29.947634 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9476] device (mgmt-br): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:40:29.949565 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9495] policy: auto-activating connection 'bond-slave-netboot' (cc17fe7f-360b-3249-b574-4cdc3ca0887f)
Jun 12 10:40:29.949785 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9497] policy: auto-activating connection 'bond-mgmt' (48589773-cb7d-38c5-b579-7dd119af73b6)
Jun 12 10:40:29.950000 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9499] policy: auto-activating connection 'vlan-mgmt' (d36f3083-03f3-31dc-b871-0e32dbb3476c)
Jun 12 10:40:29.950444 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9504] policy: auto-activating connection 'bridge-mgmt' (713373f6-bf9d-3ee3-abb2-5f295bd18145)
Jun 12 10:40:29.951073 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9509] device (lo): state change: ip-check -> secondaries (reason 'none', managed-type: 'external')
Jun 12 10:40:29.952004 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9519] device (netboot): Activation: starting connection 'bond-slave-netboot' (cc17fe7f-360b-3249-b574-4cdc3ca0887f)
Jun 12 10:40:29.952461 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9524] device (mgmt-bo): Activation: starting connection 'bond-mgmt' (48589773-cb7d-38c5-b579-7dd119af73b6)
Jun 12 10:40:29.952889 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9528] device (mgmt-br.2021): Activation: starting connection 'vlan-mgmt' (d36f3083-03f3-31dc-b871-0e32dbb3476c)
Jun 12 10:40:29.953259 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9532] device (mgmt-br): Activation: starting connection 'bridge-mgmt' (713373f6-bf9d-3ee3-abb2-5f295bd18145)
Jun 12 10:40:29.953399 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9533] device (lo): state change: secondaries -> activated (reason 'none', managed-type: 'external')
Jun 12 10:40:29.954657 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9546] device (lo): Activation: successful, device activated.
Jun 12 10:40:29.955861 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9558] device (netboot): state change: disconnected -> prepare (reason 'none', managed-type: 'full')
Jun 12 10:40:29.956493 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9564] manager: NetworkManager state is now CONNECTING
Jun 12 10:40:29.956787 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9567] device (mgmt-bo): state change: disconnected -> prepare (reason 'none', managed-type: 'full')
Jun 12 10:40:29.959791 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9597] device (mgmt-br.2021): state change: disconnected -> prepare (reason 'none', managed-type: 'full')
Jun 12 10:40:29.960747 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9607] device (mgmt-br.2021): state change: prepare -> config (reason 'none', managed-type: 'full')
Jun 12 10:40:29.961420 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9613] device (mgmt-br): state change: disconnected -> prepare (reason 'none', managed-type: 'full')
Jun 12 10:40:29.963322 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9632] device (mgmt-br): state change: prepare -> config (reason 'none', managed-type: 'full')
Jun 12 10:40:29.964168 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9641] device (netboot): state change: prepare -> config (reason 'none', managed-type: 'full')
Jun 12 10:40:29.976767 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9767] device (mgmt-br.2021): state change: config -> ip-config (reason 'none', managed-type: 'full')
Jun 12 10:40:29.979575 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9795] device (mgmt-bo): state change: prepare -> config (reason 'none', managed-type: 'full')
Jun 12 10:40:29.980215 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9801] device (mgmt-br): state change: config -> ip-config (reason 'none', managed-type: 'full')
Jun 12 10:40:29.980924 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.9808] device (netboot): state change: config -> ip-config (reason 'none', managed-type: 'full')
Jun 12 10:40:30.389433 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.3890] device (mgmt-bo): attached bond port netboot
Jun 12 10:40:30.389862 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.3896] device (netboot): Activation: connection 'bond-slave-netboot' attached as port, continuing activation
Jun 12 10:40:30.452365 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4523] policy: set 'vlan-mgmt' (mgmt-br.2021) as default for IPv4 routing and DNS
Jun 12 10:40:30.453640 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4536] device (mgmt-bo): state change: config -> ip-config (reason 'none', managed-type: 'full')
Jun 12 10:40:30.457528 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4574] device (mgmt-br): attached bridge port mgmt-bo
Jun 12 10:40:30.457570 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4575] device (mgmt-bo): Activation: connection 'bond-mgmt' attached as port, continuing activation
Jun 12 10:40:30.458170 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4581] device (mgmt-br.2021): set-hw-addr: set MAC address to 5C:B9:01:88:D0:30 (vlan-parent)
Jun 12 10:40:30.461770 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4617] device (mgmt-br): state change: ip-config -> ip-check (reason 'none', managed-type: 'full')
Jun 12 10:40:30.482945 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4829] device (mgmt-bo): state change: ip-config -> ip-check (reason 'none', managed-type: 'full')
Jun 12 10:40:30.486328 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4862] device (netboot): state change: ip-config -> ip-check (reason 'none', managed-type: 'full')
Jun 12 10:40:30.486946 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4869] device (mgmt-br): state change: ip-check -> secondaries (reason 'none', managed-type: 'full')
Jun 12 10:40:30.487157 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4871] device (mgmt-bo): state change: ip-check -> secondaries (reason 'none', managed-type: 'full')
Jun 12 10:40:30.487401 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4873] device (mgmt-br): state change: secondaries -> activated (reason 'none', managed-type: 'full')
Jun 12 10:40:30.488178 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4881] device (mgmt-br): Activation: successful, device activated.
Jun 12 10:40:30.488962 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4889] device (mgmt-bo): state change: secondaries -> activated (reason 'none', managed-type: 'full')
Jun 12 10:40:30.489829 hp-69-tink-system NetworkManager[2500]: <info>  [1781260830.4897] device (mgmt-bo): Activation: successful, device activated.
