REF                                                                                                                                               TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                    LABELS                                                                                       
docker.io/rancher/harvester-network-helper:v1.8.1-rc1                                                                                             application/vnd.oci.image.manifest.v1+json                sha256:69876692f09791c17ab19b27b06dc13e8757c14375a664f865658c219267dc55 102.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-network-helper@sha256:69876692f09791c17ab19b27b06dc13e8757c14375a664f865658c219267dc55                                application/vnd.oci.image.manifest.v1+json                sha256:69876692f09791c17ab19b27b06dc13e8757c14375a664f865658c219267dc55 102.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-network-webhook:v1.8.1-rc1                                                                                            application/vnd.oci.image.manifest.v1+json                sha256:911b1153436691ce69920ecf35c642e213f8bcfdd70de6a77525c183f278e547 120.4 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-network-webhook@sha256:911b1153436691ce69920ecf35c642e213f8bcfdd70de6a77525c183f278e547                               application/vnd.oci.image.manifest.v1+json                sha256:911b1153436691ce69920ecf35c642e213f8bcfdd70de6a77525c183f278e547 120.4 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-networkfs-manager:v1.8.1-rc1                                                                                          application/vnd.oci.image.manifest.v1+json                sha256:dba10885df2aadffc832ed7f0acb814c485b8968c8a69ef7f2950a5c7fa89ce0 193.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-networkfs-manager@sha256:dba10885df2aadffc832ed7f0acb814c485b8968c8a69ef7f2950a5c7fa89ce0                             application/vnd.oci.image.manifest.v1+json                sha256:dba10885df2aadffc832ed7f0acb814c485b8968c8a69ef7f2950a5c7fa89ce0 193.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-node-disk-manager-webhook:v1.8.1-rc1                                                                                  application/vnd.oci.image.manifest.v1+json                sha256:1b7cb7c071e37203ad826f4a2196674ae7b3bae608fd24e71d33750fba54c916 144.4 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-node-disk-manager-webhook@sha256:1b7cb7c071e37203ad826f4a2196674ae7b3bae608fd24e71d33750fba54c916                     application/vnd.oci.image.manifest.v1+json                sha256:1b7cb7c071e37203ad826f4a2196674ae7b3bae608fd24e71d33750fba54c916 144.4 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-node-disk-manager:v1.8.1-rc1                                                                                          application/vnd.oci.image.manifest.v1+json                sha256:813f114f77cc51028ede46aa5849274e9e2cfa69e21e95de411a0337043e78bb 185.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-node-disk-manager@sha256:813f114f77cc51028ede46aa5849274e9e2cfa69e21e95de411a0337043e78bb                             application/vnd.oci.image.manifest.v1+json                sha256:813f114f77cc51028ede46aa5849274e9e2cfa69e21e95de411a0337043e78bb 185.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-node-manager-webhook:v1.8.1-rc1                                                                                       application/vnd.oci.image.manifest.v1+json                sha256:bc5eb32c08d2a5372803b948a7a4ee74e678b7fe5c2757157d9dfa7253fb96f1 154.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-node-manager-webhook@sha256:bc5eb32c08d2a5372803b948a7a4ee74e678b7fe5c2757157d9dfa7253fb96f1                          application/vnd.oci.image.manifest.v1+json                sha256:bc5eb32c08d2a5372803b948a7a4ee74e678b7fe5c2757157d9dfa7253fb96f1 154.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-node-manager:v1.8.1-rc1                                                                                               application/vnd.oci.image.manifest.v1+json                sha256:4a476be2b81f46f068df09aebb9699ff73c9d773c17584c4a8fb14d87a2dee14 153.7 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-node-manager@sha256:4a476be2b81f46f068df09aebb9699ff73c9d773c17584c4a8fb14d87a2dee14                                  application/vnd.oci.image.manifest.v1+json                sha256:4a476be2b81f46f068df09aebb9699ff73c9d773c17584c4a8fb14d87a2dee14 153.7 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-pcidevices:v1.8.1-rc1                                                                                                 application/vnd.oci.image.manifest.v1+json                sha256:e2bb7d65e7ba7e7f807cab363006a1dfa3daaee28ef7564cc1c34c926444308c 250.3 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-pcidevices@sha256:e2bb7d65e7ba7e7f807cab363006a1dfa3daaee28ef7564cc1c34c926444308c                                    application/vnd.oci.image.manifest.v1+json                sha256:e2bb7d65e7ba7e7f807cab363006a1dfa3daaee28ef7564cc1c34c926444308c 250.3 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-seeder:v1.8.1-rc1                                                                                                     application/vnd.oci.image.manifest.v1+json                sha256:d9555f9628be62dc41a73e1439957c8be2f3f6ea39e808b75a76278c6494b40b 221.1 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-seeder@sha256:d9555f9628be62dc41a73e1439957c8be2f3f6ea39e808b75a76278c6494b40b                                        application/vnd.oci.image.manifest.v1+json                sha256:d9555f9628be62dc41a73e1439957c8be2f3f6ea39e808b75a76278c6494b40b 221.1 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-upgrade:d46887de                                                                                                      application/vnd.oci.image.manifest.v1+json                sha256:0a0f1c8df446557942f7e1d6f47de7831e6a0b10605dc8334e4dc88afc43e2c0 526.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-upgrade:v1.8-d46887de-head                                                                                            application/vnd.oci.image.manifest.v1+json                sha256:0a0f1c8df446557942f7e1d6f47de7831e6a0b10605dc8334e4dc88afc43e2c0 526.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-upgrade:v1.8-head                                                                                                     application/vnd.oci.image.manifest.v1+json                sha256:0a0f1c8df446557942f7e1d6f47de7831e6a0b10605dc8334e4dc88afc43e2c0 526.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-upgrade@sha256:0a0f1c8df446557942f7e1d6f47de7831e6a0b10605dc8334e4dc88afc43e2c0                                       application/vnd.oci.image.manifest.v1+json                sha256:0a0f1c8df446557942f7e1d6f47de7831e6a0b10605dc8334e4dc88afc43e2c0 526.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-vm-import-controller:v1.8.1-rc1                                                                                       application/vnd.oci.image.manifest.v1+json                sha256:8bae10a3b931bc370d26044e7d2b4de3af6396ed0f20eed47efa22e783dd940f 268.4 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-vm-import-controller@sha256:8bae10a3b931bc370d26044e7d2b4de3af6396ed0f20eed47efa22e783dd940f                          application/vnd.oci.image.manifest.v1+json                sha256:8bae10a3b931bc370d26044e7d2b4de3af6396ed0f20eed47efa22e783dd940f 268.4 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-webhook:v1.8-head                                                                                                     application/vnd.oci.image.manifest.v1+json                sha256:13167d692c3ac9eef2b8900f90f998bb853e2ba2043b194c601dc28271d22d6a 214.4 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester-webhook@sha256:13167d692c3ac9eef2b8900f90f998bb853e2ba2043b194c601dc28271d22d6a                                       application/vnd.oci.image.manifest.v1+json                sha256:13167d692c3ac9eef2b8900f90f998bb853e2ba2043b194c601dc28271d22d6a 214.4 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester:v1.8-head                                                                                                             application/vnd.oci.image.manifest.v1+json                sha256:555438869fd01a9faebd01c8ae1fadf382acc8e4e2953d3fb66482641a3874ed 316.0 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/harvester@sha256:555438869fd01a9faebd01c8ae1fadf382acc8e4e2953d3fb66482641a3874ed                                               application/vnd.oci.image.manifest.v1+json                sha256:555438869fd01a9faebd01c8ae1fadf382acc8e4e2953d3fb66482641a3874ed 316.0 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/klipper-helm:v0.10.0-build20260513                                                                                              application/vnd.oci.image.manifest.v1+json                sha256:0c6125b10ed36c4b3fd1e0f2ade702a59d539c9ed14389ca1d1782d8a8dc2f91 162.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/klipper-helm@sha256:0c6125b10ed36c4b3fd1e0f2ade702a59d539c9ed14389ca1d1782d8a8dc2f91                                            application/vnd.oci.image.manifest.v1+json                sha256:0c6125b10ed36c4b3fd1e0f2ade702a59d539c9ed14389ca1d1782d8a8dc2f91 162.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/klipper-lb:v0.4.17                                                                                                              application/vnd.oci.image.manifest.v1+json                sha256:a4f857f70dbea178c3c94b043858bba787aed45383a721e3e76438f2bcf97fef 12.8 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/klipper-lb@sha256:a4f857f70dbea178c3c94b043858bba787aed45383a721e3e76438f2bcf97fef                                              application/vnd.oci.image.manifest.v1+json                sha256:a4f857f70dbea178c3c94b043858bba787aed45383a721e3e76438f2bcf97fef 12.8 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kube-webhook-certgen:v1.14.5-hardened2                                                                                          application/vnd.oci.image.manifest.v1+json                sha256:d1c1da1f601ce9dc5086df797288209a946a7c8fb0a3a71f028c7690ee422ffa 63.9 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kube-webhook-certgen@sha256:d1c1da1f601ce9dc5086df797288209a946a7c8fb0a3a71f028c7690ee422ffa                                    application/vnd.oci.image.manifest.v1+json                sha256:d1c1da1f601ce9dc5086df797288209a946a7c8fb0a3a71f028c7690ee422ffa 63.9 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kubectl:v1.32.3                                                                                                                 application/vnd.oci.image.manifest.v1+json                sha256:c91ba36727e0daeb1643bbdff2afc16a237d9249a59a31741bb76c60071a7141 54.7 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kubectl:v1.34.0                                                                                                                 application/vnd.oci.image.manifest.v1+json                sha256:3aebaae13a1a80c2c996d7bec315eb4993a3d9c854c05c892597a16341cf05da 57.8 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kubectl:v1.35.1                                                                                                                 application/vnd.oci.image.manifest.v1+json                sha256:6079856a16406c5feb54ed747e56610d361e5f2668fbefdd21e6cbead8e484a2 55.9 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kubectl@sha256:3aebaae13a1a80c2c996d7bec315eb4993a3d9c854c05c892597a16341cf05da                                                 application/vnd.oci.image.manifest.v1+json                sha256:3aebaae13a1a80c2c996d7bec315eb4993a3d9c854c05c892597a16341cf05da 57.8 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kubectl@sha256:6079856a16406c5feb54ed747e56610d361e5f2668fbefdd21e6cbead8e484a2                                                 application/vnd.oci.image.manifest.v1+json                sha256:6079856a16406c5feb54ed747e56610d361e5f2668fbefdd21e6cbead8e484a2 55.9 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kubectl@sha256:c91ba36727e0daeb1643bbdff2afc16a237d9249a59a31741bb76c60071a7141                                                 application/vnd.oci.image.manifest.v1+json                sha256:c91ba36727e0daeb1643bbdff2afc16a237d9249a59a31741bb76c60071a7141 54.7 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kuberlr-kubectl:v6.0.0                                                                                                          application/vnd.oci.image.manifest.v1+json                sha256:3826f2b7766690f86a20589a66fced94d2e0477d8a0ef2630645a44fb38997df 245.3 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kuberlr-kubectl:v7.0.1                                                                                                          application/vnd.oci.image.manifest.v1+json                sha256:51b451940b7d121c3434c4666cc3b760d3411cacca00b91f2350a4dce8d27144 246.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kuberlr-kubectl:v7.0.3                                                                                                          application/vnd.oci.image.manifest.v1+json                sha256:c038fddfdcca9a32be887b0da76b1ef33cef1398830d5e79bbef253797a6ae7d 246.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kuberlr-kubectl@sha256:3826f2b7766690f86a20589a66fced94d2e0477d8a0ef2630645a44fb38997df                                         application/vnd.oci.image.manifest.v1+json                sha256:3826f2b7766690f86a20589a66fced94d2e0477d8a0ef2630645a44fb38997df 245.3 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kuberlr-kubectl@sha256:51b451940b7d121c3434c4666cc3b760d3411cacca00b91f2350a4dce8d27144                                         application/vnd.oci.image.manifest.v1+json                sha256:51b451940b7d121c3434c4666cc3b760d3411cacca00b91f2350a4dce8d27144 246.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/kuberlr-kubectl@sha256:c038fddfdcca9a32be887b0da76b1ef33cef1398830d5e79bbef253797a6ae7d                                         application/vnd.oci.image.manifest.v1+json                sha256:c038fddfdcca9a32be887b0da76b1ef33cef1398830d5e79bbef253797a6ae7d 246.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-fluent-fluent-bit:3.1.8                                                                                                application/vnd.oci.image.manifest.v1+json                sha256:6d03db60bde7b6fcaef8d9b88ef3da23f3c4920170cb2f09265c495d615b14d8 84.9 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-fluent-fluent-bit@sha256:6d03db60bde7b6fcaef8d9b88ef3da23f3c4920170cb2f09265c495d615b14d8                              application/vnd.oci.image.manifest.v1+json                sha256:6d03db60bde7b6fcaef8d9b88ef3da23f3c4920170cb2f09265c495d615b14d8 84.9 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-ingress-nginx-kube-webhook-certgen:v1.6.2                                                                              application/vnd.oci.image.manifest.v1+json                sha256:f4e8c554b2129dc4259cc797100a129b6980e9840741913636ce46a5f6b95b16 67.8 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-ingress-nginx-kube-webhook-certgen:v1.6.7                                                                              application/vnd.oci.image.manifest.v1+json                sha256:c28cee6d72f9a1f356367d4b2f77342212da5e807b11ea58844013b63e063e95 37.8 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-ingress-nginx-kube-webhook-certgen@sha256:c28cee6d72f9a1f356367d4b2f77342212da5e807b11ea58844013b63e063e95             application/vnd.oci.image.manifest.v1+json                sha256:c28cee6d72f9a1f356367d4b2f77342212da5e807b11ea58844013b63e063e95 37.8 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-ingress-nginx-kube-webhook-certgen@sha256:f4e8c554b2129dc4259cc797100a129b6980e9840741913636ce46a5f6b95b16             application/vnd.oci.image.manifest.v1+json                sha256:f4e8c554b2129dc4259cc797100a129b6980e9840741913636ce46a5f6b95b16 67.8 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-kube-logging-config-reloader:v0.0.6                                                                                    application/vnd.oci.image.manifest.v1+json                sha256:18b38ab46c15c79cce415f967d7d1558249e5ed3380cce60d41c106370fe1821 16.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-kube-logging-config-reloader@sha256:18b38ab46c15c79cce415f967d7d1558249e5ed3380cce60d41c106370fe1821                   application/vnd.oci.image.manifest.v1+json                sha256:18b38ab46c15c79cce415f967d7d1558249e5ed3380cce60d41c106370fe1821 16.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-kube-logging-fluentd:v1.16-4.10-full                                                                                   application/vnd.oci.image.manifest.v1+json                sha256:e629499ba84234fde1eb34414c1aaf50372cea9dd213ea39ff782a0762175c4d 370.4 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-kube-logging-fluentd@sha256:e629499ba84234fde1eb34414c1aaf50372cea9dd213ea39ff782a0762175c4d                           application/vnd.oci.image.manifest.v1+json                sha256:e629499ba84234fde1eb34414c1aaf50372cea9dd213ea39ff782a0762175c4d 370.4 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-kube-logging-logging-operator:4.10.0                                                                                   application/vnd.oci.image.manifest.v1+json                sha256:552977249052de305c290b10ff2d4408edf32fedfe663c2abab2c7b670999ae4 64.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-kube-logging-logging-operator@sha256:552977249052de305c290b10ff2d4408edf32fedfe663c2abab2c7b670999ae4                  application/vnd.oci.image.manifest.v1+json                sha256:552977249052de305c290b10ff2d4408edf32fedfe663c2abab2c7b670999ae4 64.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-kube-vip-kube-vip-iptables:v1.0.4                                                                                      application/vnd.oci.image.manifest.v1+json                sha256:f23e565a8be5afe3c171f9394862e753203d129c159958d91db15c3dabe0773d 76.5 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-kube-vip-kube-vip-iptables@sha256:f23e565a8be5afe3c171f9394862e753203d129c159958d91db15c3dabe0773d                     application/vnd.oci.image.manifest.v1+json                sha256:f23e565a8be5afe3c171f9394862e753203d129c159958d91db15c3dabe0773d 76.5 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-library-busybox:1.37.0                                                                                                 application/vnd.oci.image.manifest.v1+json                sha256:8b4ea49396032c42dc0a4dc0b7d052bab0e48eea6960cd567b79e1926968c928 4.3 MiB   linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-library-busybox@sha256:8b4ea49396032c42dc0a4dc0b7d052bab0e48eea6960cd567b79e1926968c928                                application/vnd.oci.image.manifest.v1+json                sha256:8b4ea49396032c42dc0a4dc0b7d052bab0e48eea6960cd567b79e1926968c928 4.3 MiB   linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-library-nginx:1.29.1-alpine                                                                                            application/vnd.oci.image.manifest.v1+json                sha256:981ab7ca5196a26af14775bc65e0a117b4c8275cf18a08f8c0a3a36a6c430dc5 51.4 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-library-nginx@sha256:981ab7ca5196a26af14775bc65e0a117b4c8275cf18a08f8c0a3a36a6c430dc5                                  application/vnd.oci.image.manifest.v1+json                sha256:981ab7ca5196a26af14775bc65e0a117b4c8275cf18a08f8c0a3a36a6c430dc5 51.4 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-pause:3.6                                                                                                              application/vnd.oci.image.manifest.v1+json                sha256:16974531848218d24822bf606be022d030ab8c9b05b2ecf11076c4c1c6885c95 669.8 KiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-pause@sha256:16974531848218d24822bf606be022d030ab8c9b05b2ecf11076c4c1c6885c95                                          application/vnd.oci.image.manifest.v1+json                sha256:16974531848218d24822bf606be022d030ab8c9b05b2ecf11076c4c1c6885c95 669.8 KiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-prometheus-adapter-prometheus-adapter:v0.12.0                                                                          application/vnd.oci.image.manifest.v1+json                sha256:555a56661f08f8cf3370f60e9e72b8df327deda8197b018fa6b12af4afedcdb3 86.2 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-prometheus-adapter-prometheus-adapter@sha256:555a56661f08f8cf3370f60e9e72b8df327deda8197b018fa6b12af4afedcdb3          application/vnd.oci.image.manifest.v1+json                sha256:555a56661f08f8cf3370f60e9e72b8df327deda8197b018fa6b12af4afedcdb3 86.2 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-prometheus-operator-admission-webhook:v0.85.0                                                                          application/vnd.oci.image.manifest.v1+json                sha256:e7e9b4ac0bacefb14f5dc019f818958b1480bd1b9c3d3b8a10aa08a316fc9c43 45.3 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-prometheus-operator-admission-webhook@sha256:e7e9b4ac0bacefb14f5dc019f818958b1480bd1b9c3d3b8a10aa08a316fc9c43          application/vnd.oci.image.manifest.v1+json                sha256:e7e9b4ac0bacefb14f5dc019f818958b1480bd1b9c3d3b8a10aa08a316fc9c43 45.3 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-prometheus-operator-prometheus-config-reloader:v0.80.1                                                                 application/vnd.oci.image.manifest.v1+json                sha256:b4a85cb60b5a882858307a0fd845ee5f951d6097d5ed35fd7f58b5afadac39d7 42.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-prometheus-operator-prometheus-config-reloader@sha256:b4a85cb60b5a882858307a0fd845ee5f951d6097d5ed35fd7f58b5afadac39d7 application/vnd.oci.image.manifest.v1+json                sha256:b4a85cb60b5a882858307a0fd845ee5f951d6097d5ed35fd7f58b5afadac39d7 42.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-prometheus-operator-prometheus-operator:v0.85.0                                                                        application/vnd.oci.image.manifest.v1+json                sha256:7944fbfe54ffdd95f4a323a344437ebcfda7a7e15f8ea4c11d60d3f8b46c1d26 63.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/mirrored-prometheus-operator-prometheus-operator@sha256:7944fbfe54ffdd95f4a323a344437ebcfda7a7e15f8ea4c11d60d3f8b46c1d26        application/vnd.oci.image.manifest.v1+json                sha256:7944fbfe54ffdd95f4a323a344437ebcfda7a7e15f8ea4c11d60d3f8b46c1d26 63.6 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/nginx-ingress-controller:v1.14.5-hardened2                                                                                      application/vnd.oci.image.manifest.v1+json                sha256:aff446e7cdf8e86f274bbf79a2bb7961df49a5f0aa4765a41270f1862c796004 640.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/nginx-ingress-controller@sha256:aff446e7cdf8e86f274bbf79a2bb7961df49a5f0aa4765a41270f1862c796004                                application/vnd.oci.image.manifest.v1+json                sha256:aff446e7cdf8e86f274bbf79a2bb7961df49a5f0aa4765a41270f1862c796004 640.9 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/prom-prometheus:v3.5.0                                                                                                          application/vnd.oci.image.manifest.v1+json                sha256:b0a48534eec99351c4187f93b74b5dfe790b55c9087f93fc79b8e967bdd6cd81 299.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/prom-prometheus@sha256:b0a48534eec99351c4187f93b74b5dfe790b55c9087f93fc79b8e967bdd6cd81                                         application/vnd.oci.image.manifest.v1+json                sha256:b0a48534eec99351c4187f93b74b5dfe790b55c9087f93fc79b8e967bdd6cd81 299.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/rancher-agent:v2.14.2                                                                                                           application/vnd.oci.image.manifest.v1+json                sha256:36bd3d26057d33d1a81f46e1a0f3e5480d7b6c1cb6575e4ccb9d8a6154b9d2ff 904.0 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/rancher-agent@sha256:36bd3d26057d33d1a81f46e1a0f3e5480d7b6c1cb6575e4ccb9d8a6154b9d2ff                                           application/vnd.oci.image.manifest.v1+json                sha256:36bd3d26057d33d1a81f46e1a0f3e5480d7b6c1cb6575e4ccb9d8a6154b9d2ff 904.0 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/rancher-webhook:v0.10.6                                                                                                         application/vnd.oci.image.manifest.v1+json                sha256:41680c8ef21c1ae67e41aca480abf290604cc16a3620bc26244c9932e92773ae 60.7 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/rancher-webhook@sha256:41680c8ef21c1ae67e41aca480abf290604cc16a3620bc26244c9932e92773ae                                         application/vnd.oci.image.manifest.v1+json                sha256:41680c8ef21c1ae67e41aca480abf290604cc16a3620bc26244c9932e92773ae 60.7 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/rancher:v2.14.2                                                                                                                 application/vnd.oci.image.manifest.v1+json                sha256:29ea8e1cddc33452a17465f4a60355cbe5f3e486caa828d6245891ddcd0bc23a 1.8 GiB   linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/rancher@sha256:29ea8e1cddc33452a17465f4a60355cbe5f3e486caa828d6245891ddcd0bc23a                                                 application/vnd.oci.image.manifest.v1+json                sha256:29ea8e1cddc33452a17465f4a60355cbe5f3e486caa828d6245891ddcd0bc23a 1.8 GiB   linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/rke2-cloud-provider:v1.35.4-0.20260415195656-e51c0636351d-build20260415                                                         application/vnd.oci.image.manifest.v1+json                sha256:42a34eb710c6b47b3adfc78305b90d2c410f097ddbc1e0e5c76f7e8509dd11e6 66.9 MiB  linux/amd64                                                                  io.cattle.rke2.pinned=pinned,io.cri-containerd.image=managed,io.cri-containerd.pinned=pinned 
docker.io/rancher/rke2-cloud-provider@sha256:42a34eb710c6b47b3adfc78305b90d2c410f097ddbc1e0e5c76f7e8509dd11e6                                     application/vnd.oci.image.manifest.v1+json                sha256:42a34eb710c6b47b3adfc78305b90d2c410f097ddbc1e0e5c76f7e8509dd11e6 66.9 MiB  linux/amd64                                                                  io.cattle.rke2.pinned=pinned,io.cri-containerd.image=managed,io.cri-containerd.pinned=pinned 
docker.io/rancher/rke2-runtime:v1.35.5-rke2r1                                                                                                     application/vnd.oci.image.manifest.v1+json                sha256:35382c0bfac8422bb0f4d7d85b0a0d2050103e6b576e2a5997cd6f1d9e858dcc 291.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/rke2-runtime@sha256:35382c0bfac8422bb0f4d7d85b0a0d2050103e6b576e2a5997cd6f1d9e858dcc                                            application/vnd.oci.image.manifest.v1+json                sha256:35382c0bfac8422bb0f4d7d85b0a0d2050103e6b576e2a5997cd6f1d9e858dcc 291.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/rancher/shell:v0.7.0                                                                                                                    application/vnd.oci.image.manifest.v1+json                sha256:11cb2f9f81550b65509e6f9ca2167500096fd1f924b0527e14d4cf26ee5838f3 340.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
