REF                                                                                                                                               TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                    LABELS                                                                                       
docker.io/longhornio/longhorn-instance-manager:v1.11.2                                                                                            application/vnd.oci.image.manifest.v1+json                sha256:f75721383c8380a69d27218623033df1eddc0d7d9c1fbc91c21ea741a6e83a7d 1.3 GiB   linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/longhorn-instance-manager@sha256:f75721383c8380a69d27218623033df1eddc0d7d9c1fbc91c21ea741a6e83a7d                            application/vnd.oci.image.manifest.v1+json                sha256:f75721383c8380a69d27218623033df1eddc0d7d9c1fbc91c21ea741a6e83a7d 1.3 GiB   linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/longhorn-manager:v1.11.2                                                                                                     application/vnd.oci.image.manifest.v1+json                sha256:bc66e52d42a6ba06cd72eab7cd521fb51526abb488727b886e6501c365c0109e 333.5 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/longhorn-manager@sha256:bc66e52d42a6ba06cd72eab7cd521fb51526abb488727b886e6501c365c0109e                                     application/vnd.oci.image.manifest.v1+json                sha256:bc66e52d42a6ba06cd72eab7cd521fb51526abb488727b886e6501c365c0109e 333.5 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/longhorn-share-manager:v1.11.2                                                                                               application/vnd.oci.image.manifest.v1+json                sha256:ca419afd406ff5a49ffe07aca31e21fd70dd74ed2dcc590005a0ed054133c852 295.5 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/longhorn-share-manager@sha256:ca419afd406ff5a49ffe07aca31e21fd70dd74ed2dcc590005a0ed054133c852                               application/vnd.oci.image.manifest.v1+json                sha256:ca419afd406ff5a49ffe07aca31e21fd70dd74ed2dcc590005a0ed054133c852 295.5 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/longhorn-ui:v1.11.2                                                                                                          application/vnd.oci.image.manifest.v1+json                sha256:1fa27ecb029efea38b58fadf3e1e61f0e4b7170b22a89621436dc1ef8ce6fe4a 223.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/longhorn-ui@sha256:1fa27ecb029efea38b58fadf3e1e61f0e4b7170b22a89621436dc1ef8ce6fe4a                                          application/vnd.oci.image.manifest.v1+json                sha256:1fa27ecb029efea38b58fadf3e1e61f0e4b7170b22a89621436dc1ef8ce6fe4a 223.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/support-bundle-kit:v0.0.84                                                                                                   application/vnd.oci.image.manifest.v1+json                sha256:4696f5c0e5445a9b4ec2fefb0a6261a742ea06f5bc182073fdc8bdfd3a7eee30 246.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/support-bundle-kit@sha256:4696f5c0e5445a9b4ec2fefb0a6261a742ea06f5bc182073fdc8bdfd3a7eee30                                   application/vnd.oci.image.manifest.v1+json                sha256:4696f5c0e5445a9b4ec2fefb0a6261a742ea06f5bc182073fdc8bdfd3a7eee30 246.6 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
