2026-06-12T11:21:24.645635537Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-150-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-150-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x371dbc7aaba0 BondOptions:0x371dc3877038}}"
2026-06-12T11:21:24.645649350Z time="2026-06-12T11:21:24Z" level=info msg="vc hp-150-tink-system matchedNodes: [hp-150-tink-system], include this node: hp-150-tink-system"
2026-06-12T11:21:24.657983423Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-117-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-117-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x371dc18e31d0 BondOptions:0x371dc315aa98}}"
2026-06-12T11:21:24.712283087Z time="2026-06-12T11:21:24Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:24.933980121Z time="2026-06-12T11:21:24Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:24.990134089Z time="2026-06-12T11:21:24Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:24.990230016Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:24.990423053Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-150-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-150-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x371dc18e3650 BondOptions:0x371dc315abe8}}"
2026-06-12T11:21:24.990448052Z time="2026-06-12T11:21:24Z" level=info msg="vc hp-150-tink-system matchedNodes: [hp-150-tink-system], include this node: hp-150-tink-system"
2026-06-12T11:21:24.991371469Z time="2026-06-12T11:21:24Z" level=error msg="error syncing 'cnet-111938': handler harvester-network-cn-controller: can't run diff on an empty vidset, requeuing"
2026-06-12T11:21:24.995317101Z time="2026-06-12T11:21:24Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
