2026-06-12T11:21:24.684222250Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-150-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-150-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x341a1ca7380 BondOptions:0x341a2eebc68}}"
2026-06-12T11:21:24.700539368Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-150-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-150-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x341a1ca7380 BondOptions:0x341a2eebc68}}"
2026-06-12T11:21:24.779130672Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-150-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-150-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x3419ce26f00 BondOptions:0x341a2961d70}}"
2026-06-12T11:21:24.784466842Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-150-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-150-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x3419ce26f00 BondOptions:0x341a2961d70}}"
2026-06-12T11:21:24.849550672Z time="2026-06-12T11:21:24Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:24.960512028Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:25.365138136Z time="2026-06-12T11:21:25Z" level=info msg="cluster network cnet-111938 is not set on this node, skip"
2026-06-12T11:21:25.390187290Z time="2026-06-12T11:21:25Z" level=error msg="error syncing 'nic': handler harvester-network-link-monitor-controller: synchronize links to link monitor nic failed, error: results may be incomplete or inconsistent, requeuing"
2026-06-12T11:21:25.390231240Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.643897835Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.645610074Z time="2026-06-12T11:21:25Z" level=info msg="vlan config hp-69-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-69-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x341a1ca6390 BondOptions:0x341a2eeb680}}"
2026-06-12T11:21:25.645631018Z time="2026-06-12T11:21:25Z" level=info msg="vc hp-69-tink-system matchedNodes: [hp-69-tink-system], include this node: hp-69-tink-system"
2026-06-12T11:21:25.778997116Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.848208968Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:25.944348258Z time="2026-06-12T11:21:25Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:26.044223681Z time="2026-06-12T11:21:26Z" level=info msg="vlan config hp-69-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-69-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x341a1ca6390 BondOptions:0x341a2eeb680}}"
2026-06-12T11:21:26.044244778Z time="2026-06-12T11:21:26Z" level=info msg="vc hp-69-tink-system matchedNodes: [hp-69-tink-system], include this node: hp-69-tink-system"
2026-06-12T11:21:26.079772758Z time="2026-06-12T11:21:26Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:26.281224083Z time="2026-06-12T11:21:26Z" level=info msg="cluster network cnet-111938 will add 1 vlans, remove 0 vlans"
2026-06-12T11:21:26.359749680Z time="2026-06-12T11:21:26Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:26.379307011Z time="2026-06-12T11:21:26Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:26.380516112Z time="2026-06-12T11:21:26Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 0 vlans"
2026-06-12T11:21:26.410582876Z time="2026-06-12T11:21:26Z" level=info msg="vlan config hp-69-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-69-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x341a1ca6390 BondOptions:0x341a2eeb680}}"
2026-06-12T11:21:26.410609263Z time="2026-06-12T11:21:26Z" level=info msg="vc hp-69-tink-system matchedNodes: [hp-69-tink-system], include this node: hp-69-tink-system"
2026-06-12T11:21:26.484517415Z time="2026-06-12T11:21:26Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:26.485870688Z time="2026-06-12T11:21:26Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 0 vlans"
2026-06-12T11:21:27.147367528Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:27.163911750Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:27.180776127Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:27.188355149Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:27.244154650Z time="2026-06-12T11:21:27Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:32.425941125Z time="2026-06-12T11:21:32Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
2026-06-12T11:21:32.427663506Z time="2026-06-12T11:21:32Z" level=info msg="cluster network cnet-111938 will add 0 vlans, remove 1 vlans"
2026-06-12T11:21:32.433775249Z time="2026-06-12T11:21:32Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:33.973034047Z time="2026-06-12T11:21:33Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: 72d1b5da6eeaf1789df86487da50ad5e9dadb5ffaecb56b6de592aa286c9c1b8"
2026-06-12T11:21:33.975550819Z time="2026-06-12T11:21:33Z" level=info msg="cluster network cnet-111938 will add 1 vlans, remove 0 vlans"
2026-06-12T11:21:34.044269770Z time="2026-06-12T11:21:34Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:38.087381591Z time="2026-06-12T11:21:38Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:21:38.087430574Z time="2026-06-12T11:21:38Z" level=info msg="link monitor cnet-111938 has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:cnet-111938(-br|-bo)}}"
2026-06-12T11:21:38.184210696Z time="2026-06-12T11:21:38Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
