Jun 12 10:36:02.248545 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2485] device (mgmt-bo): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:36:02.248967 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2489] device (mgmt-br.2021): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:36:02.249365 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2493] device (mgmt-br): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:36:02.250221 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2502] policy: auto-activating connection 'bond-slave-netboot' (cc17fe7f-360b-3249-b574-4cdc3ca0887f)
Jun 12 10:36:02.250341 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2503] policy: auto-activating connection 'bond-mgmt' (48589773-cb7d-38c5-b579-7dd119af73b6)
Jun 12 10:36:02.250447 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2504] policy: auto-activating connection 'vlan-mgmt' (d36f3083-03f3-31dc-b871-0e32dbb3476c)
Jun 12 10:36:02.250639 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2506] policy: auto-activating connection 'bridge-mgmt' (713373f6-bf9d-3ee3-abb2-5f295bd18145)
Jun 12 10:36:02.250935 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2509] device (lo): state change: ip-check -> secondaries (reason 'none', managed-type: 'external')
Jun 12 10:36:02.251269 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2512] device (netboot): Activation: starting connection 'bond-slave-netboot' (cc17fe7f-360b-3249-b574-4cdc3ca0887f)
Jun 12 10:36:02.251452 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2514] device (mgmt-bo): Activation: starting connection 'bond-mgmt' (48589773-cb7d-38c5-b579-7dd119af73b6)
Jun 12 10:36:02.251607 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2515] device (mgmt-br.2021): Activation: starting connection 'vlan-mgmt' (d36f3083-03f3-31dc-b871-0e32dbb3476c)
Jun 12 10:36:02.251756 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2517] device (mgmt-br): Activation: starting connection 'bridge-mgmt' (713373f6-bf9d-3ee3-abb2-5f295bd18145)
Jun 12 10:36:02.251772 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2517] device (lo): state change: secondaries -> activated (reason 'none', managed-type: 'external')
Jun 12 10:36:02.252191 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2521] device (lo): Activation: successful, device activated.
Jun 12 10:36:02.252676 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2526] device (netboot): state change: disconnected -> prepare (reason 'none', managed-type: 'full')
Jun 12 10:36:02.252889 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2528] manager: NetworkManager state is now CONNECTING
Jun 12 10:36:02.253006 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2529] device (mgmt-bo): state change: disconnected -> prepare (reason 'none', managed-type: 'full')
Jun 12 10:36:02.254413 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2543] device (mgmt-br.2021): state change: disconnected -> prepare (reason 'none', managed-type: 'full')
Jun 12 10:36:02.254740 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2547] device (mgmt-br.2021): state change: prepare -> config (reason 'none', managed-type: 'full')
Jun 12 10:36:02.255020 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2550] device (mgmt-br): state change: disconnected -> prepare (reason 'none', managed-type: 'full')
Jun 12 10:36:02.255791 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2557] device (mgmt-br): state change: prepare -> config (reason 'none', managed-type: 'full')
Jun 12 10:36:02.256121 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2561] device (netboot): state change: prepare -> config (reason 'none', managed-type: 'full')
Jun 12 10:36:02.261245 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2612] device (mgmt-br.2021): state change: config -> ip-config (reason 'none', managed-type: 'full')
Jun 12 10:36:02.262541 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2625] device (mgmt-bo): state change: prepare -> config (reason 'none', managed-type: 'full')
Jun 12 10:36:02.262807 hp-150-tink-system NetworkManager[2120]: <info>  [1781260562.2627] device (mgmt-br): state change: config -> ip-config (reason 'none', managed-type: 'full')
