2026-06-12T10:47:11.140749224Z I0612 10:47:11.139620       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:11.140753211Z E0612 10:47:11.139652       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:11.180195036Z I0612 10:47:11.180092       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:11.180223197Z I0612 10:47:11.180164       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:11.180243803Z E0612 10:47:11.180188       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:11.198009310Z I0612 10:47:11.197620       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:11.198036626Z I0612 10:47:11.197866       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:11.198065770Z E0612 10:47:11.197891       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:11.211689598Z I0612 10:47:11.211558       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:11.211717425Z I0612 10:47:11.211637       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:11.211721509Z E0612 10:47:11.211675       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:11.226550367Z I0612 10:47:11.226337       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:11.226602293Z I0612 10:47:11.226396       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:11.226608616Z E0612 10:47:11.226416       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:11.251107980Z I0612 10:47:11.250993       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:11.251197653Z I0612 10:47:11.251058       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:11.251204369Z E0612 10:47:11.251080       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:11.342743494Z I0612 10:47:11.342514       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:11.342767612Z I0612 10:47:11.342573       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:11.342771606Z E0612 10:47:11.342591       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:11.361345096Z I0612 10:47:11.361229       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:11.361362113Z I0612 10:47:11.361292       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:11.361418204Z E0612 10:47:11.361313       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:11.380371359Z I0612 10:47:11.380150       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:11.380392245Z I0612 10:47:11.380222       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:11.380396808Z E0612 10:47:11.380243       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
2026-06-12T10:47:12.492301405Z I0612 10:47:12.492177       1 node_controller.go:429] Initializing node hp-150-tink-system with cloud provider
2026-06-12T10:47:12.492318769Z I0612 10:47:12.492250       1 node_controller.go:233] error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing
2026-06-12T10:47:12.492330184Z E0612 10:47:12.492269       1 node_controller.go:244] "Unhandled Error" err="error syncing 'hp-150-tink-system': failed to get instance metadata for node hp-150-tink-system: address annotations not yet set, requeuing"
